2005-10-27,1.043
2005-10-28,1.043
2005-10-31,1.043
2005-11-01,1.043
2005-11-02,1.043
2005-11-03,1.043
2005-11-04,1.043
2005-11-07,1.043
2005-11-08,1.043
2005-11-09,1.042
2005-11-10,1.042
2005-11-14,1.043
2005-11-15,1.042
2005-11-16,1.042
2005-11-17,1.043
2005-11-18,1.043
2005-11-21,1.043
2005-11-22,1.043
2005-11-23,1.042
2005-11-25,1.042
2005-11-28,1.042
2005-11-29,1.042
2005-11-30,1.042
2005-12-01,1.042
2005-12-02,1.042
2005-12-05,1.042
2005-12-06,1.042
2005-12-07,1.042
2005-12-08,1.042
2005-12-09,1.042
2005-12-12,1.042
2005-12-13,1.042
2005-12-14,1.041
2005-12-15,1.041
2005-12-16,1.042
2005-12-19,1.041
2005-12-20,1.042
2005-12-21,1.042
2005-12-22,1.042
2005-12-23,1.042
2005-12-27,1.041
2005-12-28,1.041
2005-12-29,1.041
2005-12-30,1.041
2006-01-03,1.041
2006-01-04,1.041
2006-01-05,1.041
2006-01-06,1.040
2006-01-09,1.041
2006-01-10,1.040
2006-01-11,1.041
2006-01-12,1.041
2006-01-13,1.041
2006-01-17,1.041
2006-01-18,1.041
2006-01-19,1.041
2006-01-20,1.039
2006-01-23,1.040
2006-01-24,1.040
2006-01-25,1.040
2006-01-26,1.039
2006-01-27,1.039
2006-01-30,1.039
2006-01-31,1.039
2006-02-01,1.039
2006-02-02,1.039
2006-02-03,1.039
2006-02-06,1.038
2006-02-07,1.038
2006-02-08,1.038
2006-02-09,1.038
2006-02-10,1.038
2006-02-13,1.037
2006-02-14,1.037
2006-02-15,1.037
2006-02-16,1.037
2006-02-17,1.037
2006-02-21,1.037
2006-02-22,1.037
2006-02-23,1.037
2006-02-24,1.037
2006-02-27,1.037
2006-02-28,1.036
2006-03-01,1.036
2006-03-02,1.036
2006-03-03,1.036
2006-03-06,1.036
2006-03-07,1.036
2006-03-08,1.037
2006-03-09,1.037
2006-03-10,1.037
2006-03-13,1.038
2006-03-14,1.037
2006-03-15,1.036
2006-03-16,1.036
2006-03-17,1.035
2006-03-20,1.034
2006-03-21,1.035
2006-03-22,1.035
2006-03-23,1.035
2006-03-24,1.035
2006-03-27,1.034
2006-03-28,1.034
2006-03-29,1.035
2006-03-30,1.034
2006-03-31,1.033
2006-04-03,1.034
2006-04-04,1.034
2006-04-05,1.033
2006-04-06,1.032
2006-04-07,1.033
2006-04-10,1.032
2006-04-11,1.032
2006-04-12,1.033
2006-04-13,1.034
2006-04-14,1.034
2006-04-17,1.033
2006-04-18,1.033
2006-04-19,1.033
2006-04-20,1.033
2006-04-21,1.034
2006-04-24,1.034
2006-04-25,1.033
2006-04-26,1.034
2006-04-27,1.034
2006-04-28,1.034
2006-05-01,1.034
2006-05-02,1.034
2006-05-03,1.033
2006-05-04,1.033
2006-05-05,1.033
2006-05-08,1.033
2006-05-09,1.033
2006-05-10,1.032
2006-05-11,1.032
2006-05-12,1.033
2006-05-15,1.032
2006-05-16,1.032
2006-05-17,1.032
2006-05-18,1.033
2006-05-19,1.034
2006-05-22,1.035
2006-05-23,1.035
2006-05-24,1.034
2006-05-25,1.034
2006-05-26,1.035
