简介,公告日,分红,送股,转增股,登记日,除权日,备注
国药股份,2015-08-18,--,--,--,--,--,董事会通过
国药股份,2015-03-21,1.00,--,--,2015-06-25,2015-06-26,实施
国药股份,2014-08-22,--,--,--,--,--,董事会通过
国药股份,2014-03-20,2.60,--,--,2014-06-18,2014-06-19,实施
国药股份,2013-08-10,--,--,--,--,--,董事会通过
国药股份,2013-03-22,2.20,--,--,2013-06-18,2013-06-19,实施
国药股份,2012-08-14,--,--,--,--,--,董事会通过
国药股份,2012-03-20,0.60,--,--,2012-06-18,2012-06-19,实施
国药股份,2011-08-10,--,--,--,--,--,董事会通过
国药股份,2011-03-21,1.50,--,--,2011-06-16,2011-06-17,实施
国药股份,2010-08-19,--,--,--,--,--,董事会通过
国药股份,2010-03-22,1.00,--,--,2010-06-21,2010-06-22,实施
国药股份,2009-08-27,--,--,--,--,--,董事会通过
国药股份,2009-04-18,1.50,5.00,5.00,2009-06-02,2009-06-03,实施
国药股份,2008-08-05,--,--,--,--,--,董事会通过
国药股份,2008-04-30,3.50,--,8.00,2008-06-24,2008-06-25,实施
国药股份,2007-07-30,--,--,--,--,--,董事会通过
国药股份,2007-04-25,2.50,--,--,2007-07-12,2007-07-13,实施
国药股份,2006-08-02,--,--,--,--,--,董事会通过
国药股份,2006-03-15,1.50,--,--,2006-06-27,2006-06-28,实施
